Couleurs,Liste de mots,Reponses,Temps de reponse,Iteration
Rouge,Bleu,Bleu,0.7668402194976807,1
Rouge,Rouge,Rouge,0.4350459575653076,2
Bleu,Bleu,Bleu,0.4586050510406494,3
Vert,Rouge,,1.0000278949737549,4
Rouge,Rouge,Rouge,0.8826301097869873,5
Vert,Rouge,Rouge,0.4765410423278808,6
Bleu,Bleu,Bleu,0.4121158123016357,7
Bleu,Vert,Vert,0.4349639415740967,8
Vert,Vert,Vert,0.4945428371429443,9
Rouge,Vert,Vert,0.4306588172912597,10
