Couleurs,Liste de mots,Reponses,Temps de reponse,Iteration
blue,Bleu,b,0.5245780944824219,1
green,Rouge,r,0.503546953201294,2
blue,Vert,r,0.0012209415435791016,3
green,Rouge,r,0.0021619796752929688,4
red,Bleu,v,0.0009160041809082031,5
blue,Rouge,b,0.0008718967437744141,6
blue,Bleu,r,0.0008502006530761719,7
blue,Rouge,b,0.0008759498596191406,8
green,Vert,r,0.0008490085601806641,9
green,Bleu,v,0.0006861686706542969,10
