Couleurs,Liste de mots,Reponses,Temps de reponse,Iteration
blue,Rouge,r,0.6690568923950195,1
green,Rouge,r,0.5704469680786133,2
red,Vert,v,0.5480129718780518,3
green,Vert,v,0.38312387466430664,4
green,Vert,v,0.343613862991333,5
red,Bleu,b,0.4642519950866699,6
red,Rouge,r,0.5257978439331055,7
green,Bleu,b,0.6045961380004883,8
green,Vert,v,0.6671938896179199,9
blue,Rouge,r,0.4640159606933594,10
