Couleurs,Liste de mots,Reponses,Temps de reponse,Iteration
red,Rouge,r,0.4509398937225342,1
red,Vert,r,0.0011761188507080078,2
green,Bleu,v,0.0008168220520019531,3
red,Rouge,b,0.0009427070617675781,4
red,Bleu,r,0.0009212493896484375,5
blue,Vert,b,0.0007069110870361328,6
red,Vert,v,0.0007951259613037109,7
green,Rouge,v,0.0008509159088134766,8
blue,Bleu,r,0.0010499954223632812,9
green,Vert,b,0.0009741783142089844,10
