Couleurs,Liste de mots,Reponses,Temps de reponse,Iteration
blue,Rouge,r,0.6576519012451172,1
red,Bleu,b,0.5461528301239014,2
green,Bleu,b,0.5342426300048828,3
green,Vert,v,0.0011887550354003906,4
red,Bleu,v,0.0011022090911865234,5
red,Bleu,b,0.0006480216979980469,6
green,Bleu,b,0.0004968643188476562,7
blue,Rouge,b,0.0008299350738525391,8
blue,Vert,r,0.0008721351623535156,9
blue,Rouge,v,0.0007681846618652344,10
